date,close,open,high,low,volume
2024-09-30,25.9,26.33,26.44,25.51,2210944
2024-10-01,24.43,25.78,25.83,23.81,2645477
2024-10-02,23.22,23.73,24.9599,23.06,2074537
2024-10-03,23.87,23.43,23.9,22.95,1318819
2024-10-04,24.93,24.26,25.0,23.62,1265915
2024-10-07,25.66,25.48,26.56,25.14,1689464
2024-10-08,24.71,25.03,25.53,24.37,1542227
2024-10-09,23.71,24.46,24.8199,23.53,1198621
2024-10-10,22.7,23.81,23.81,22.03,2107876
2024-10-11,25.28,23.98,25.55,23.96,1716428
2024-10-14,27.53,26.59,27.8978,26.5398,2347161
2024-10-15,28.42,27.54,29.3,26.57,3187894
2024-10-16,29.06,29.14,29.58,28.56,1919545
2024-10-17,28.25,28.37,28.97,28.04,1735383
2024-10-18,29.73,29.07,30.14,28.99,2149355
2024-10-21,28.96,29.0,29.08,28.11,2159904
2024-10-22,28.71,28.35,28.91,27.93,1227397
2024-10-23,27.79,27.86,28.18,26.72,1958494
2024-10-24,29.3,28.67,29.36,28.48,1541896
2024-10-25,27.99,29.05,29.79,27.2,2584157
2024-10-28,30.37,29.82,30.66,29.3801,2286948
2024-10-29,33.0,31.8,34.0096,31.51,4034400
2024-10-30,32.31,32.23,32.95,31.9,3638480
2024-10-31,30.51,32.4,32.46,30.4,2280783
2024-11-01,29.79,30.66,32.075,29.38,11081561
2024-11-04,28.11,29.21,29.38,27.98,5157792
2024-11-05,29.91,29.74,30.82,29.35,3337193
2024-11-06,35.82,34.23,36.16,33.5,4051955
2024-11-07,36.17,34.71,36.58,34.3201,3497564
2024-11-08,36.39,35.9,36.96,35.3201,6764794
2024-11-11,46.02,41.22,46.53,40.98,6403760
2024-11-12,48.68,44.91,49.08,44.06,9293118
2024-11-13,48.76,49.12,52.96,48.38,6525756
2024-11-14,46.27,50.55,51.05,46.1,5625241
2024-11-15,50.6,48.22,50.63,46.53,3926444
2024-11-18,50.67,49.36,51.88,48.431,3336763
2024-11-19,51.74,50.67,53.53,50.17,4161937
2024-11-20,53.64,53.94,54.5,52.38,3506884
