date,close,open,high,low,volume
2010-10-07,111.209999,112.0,112.08,108.54,3289600
2010-10-08,113.449997,111.41,114.26,109.14,2856000
2010-10-11,113.68,113.77,115.26,112.65,1588800
2010-10-12,116.040001,112.93,116.65,110.27,4072000
2010-10-13,118.860001,118.18,120.31,117.18,4035200
2010-10-14,118.199997,119.0,119.69,116.39,3323200
2010-10-15,125.739998,122.43,125.74,119.7,4982400
2010-10-18,125.739998,125.94,127.03,124.39,3624000
2010-10-19,120.739998,120.76,123.64,117.83,5304000
2010-10-20,123.25,121.92,125.97,121.16,3894400
2010-10-21,124.110001,125.74,127.1,120.51,4571200
2010-10-22,126.529999,124.26,126.81,123.61,2446400
2010-10-25,128.449997,128.05,130.63,128.05,3216000
2010-10-26,129.220001,126.43,130.12,124.95,3118400
2010-10-27,130.550003,127.57,130.88,126.87,4702400
2010-10-28,131.300003,132.36,132.43,128.19,4491200
2010-10-29,130.669998,131.27,132.79,130.5,3364800
2010-11-01,130.970001,132.0,134.67,129.1,3550400
2010-11-02,134.940002,134.12,136.03,133.5,2838400
2010-11-03,136.889999,135.62,136.93,131.91,4798400
2010-11-04,141.740005,141.66,143.42,140.67,4660800
2010-11-05,141.910004,142.08,142.76,140.7,4748800
2010-11-08,142.270004,141.19,143.0,140.17,4310400
2010-11-09,139.970001,144.29,144.79,138.23,5078400
2010-11-10,142.110001,140.71,142.61,137.41,3832000
2010-11-11,139.720001,135.5,140.21,133.86,5076800
2010-11-12,132.610001,137.41,139.04,129.57,9094400
2010-11-15,131.190002,134.88,135.44,131.03,4966400
2010-11-16,124.68,128.38,130.63,123.17,7568000
2010-11-17,125.860001,124.9,127.73,124.0,4632000
2010-11-18,131.710007,129.91,134.32,129.81,5780800
2010-11-19,132.020004,131.28,133.0,129.78,3892800
2010-11-22,135.5,130.45,135.5,129.91,6144000
2010-11-23,129.100006,131.49,131.87,126.8,7744000
2010-11-24,136.639999,132.77,137.69,132.61,5395200
2010-11-26,135.779999,134.26,136.82,133.47,2486400
2010-11-29,133.889999,133.5,135.0,128.92,7355200
2010-11-30,128.800003,129.64,131.32,127.35,8363200
2010-12-01,136.990005,134.71,139.04,134.5,8619200
2010-12-02,141.149994,137.6,141.75,137.25,5505600
2010-12-03,142.330002,139.45,142.79,139.4,7310400
2010-12-06,142.080002,142.36,142.91,140.93,4128000
2010-12-07,142.210007,147.33,147.34,141.96,6851200
2010-12-08,144.179993,143.62,144.54,140.83,3892800
