date,close,open,high,low,volume
2010-10-11,0.4864572183,0.4777704823,0.5004779151,0.4777704823,20370000
2010-10-12,0.496820342,0.4803612632,0.5029162971,0.471826926,18330000
2010-10-13,0.4991063252,0.5015447072,0.5067262691,0.4852380273,27384000
2010-10-14,0.4949915555,0.5000207184,0.5091646511,0.4863048194,19338000
2010-10-15,0.5062690724,0.5053546792,0.510536241,0.4835189679,22374000
2010-10-18,0.4945343588,0.5036782915,0.5036782915,0.4821900497,21282000
2010-10-19,0.4738081114,0.4789896733,0.4995482819,0.4582649499,37842000
2010-10-20,0.4817328531,0.4742653081,0.4890479992,0.4648165776,24378000
2010-10-21,0.4745701058,0.4841712351,0.4866096172,0.4611590046,22062000
2010-10-22,0.5026876988,0.4745701058,0.5050498814,0.4745701058,29832000
2010-10-25,0.5192229771,0.510536241,0.5279097131,0.510536241,12414000
2010-10-26,0.5126698253,0.5119078309,0.5204421681,0.4954487521,10962000
2010-10-27,0.5597610786,0.5144986118,0.560524597,0.514346213,19632000
2010-10-28,0.5611326685,0.5612850674,0.5646378427,0.5404064211,13932000
2010-10-29,0.5716481911,0.5565607021,0.5760677585,0.5556463089,10818000
2010-11-01,0.5658570337,0.5757629608,0.5832305058,0.5522935336,19554000
2010-11-02,0.5768297529,0.5762201574,0.585516489,0.5684462906,11472000
2010-11-03,0.5958796127,0.5826209103,0.5958796127,0.5687526124,18366000
2010-11-04,0.6505908098,0.6121862926,0.6527243941,0.6121862926,18684000
2010-11-05,0.66415431,0.6571439616,0.6736030404,0.6485486649,18162000
2010-11-08,0.6650687032,0.6604967369,0.6780210839,0.6531815907,17436000
2010-11-09,0.6397704895,0.6650687032,0.6670498886,0.6327601411,14748000
2010-11-10,0.6405629637,0.639160894,0.6422088715,0.615386669,14172000
2010-11-11,0.6181298488,0.5916124441,0.6248338755,0.5682954157,24570000
2010-11-12,0.61660586,0.6134054836,0.6467869338,0.5986227925,16152000
2010-11-15,0.602889961,0.6303217591,0.635350922,0.602889961,14220000
2010-11-16,0.5772869495,0.5881072699,0.6071571296,0.5681430169,16314000
2010-11-17,0.5756105619,0.5751533653,0.5957272138,0.5686002135,7788000
2010-11-18,0.6077667251,0.5931364328,0.6152342701,0.5931364328,10518000
2010-11-19,0.6373321074,0.6038043543,0.6419040738,0.6038043543,9654000
2010-11-22,0.6609539335,0.639160894,0.6623255234,0.6335221355,32064000
